                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4029,                 2.3166,                 1.2428,                0.75437,                0.73599,                0.76298,                0.48277,                 1.2847,                 1.4665,                  1.304,             0.00027326,             0.00027326,             0.00027326
                      2,                 1.2828,                 1.0712,                 1.2445,                0.74162,                0.86701,                0.79049,                 0.5205,                  1.269,                0.97116,                  1.423,             0.00054547,             0.00054547,             0.00054547
                      3,                 1.2169,                0.93587,                 1.2351,                0.67676,                0.90232,                0.80613,                0.53289,                 1.3004,                0.90041,                 1.4885,             0.00081219,             0.00081219,             0.00081219
                      4,                 1.1959,                0.89144,                 1.2162,                0.75753,                0.80995,                0.83391,                0.55187,                 1.2268,                0.94987,                 1.4098,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.1787,                 0.8445,                 1.2037,                 0.8098,                0.81389,                0.80872,                0.54278,                  1.217,                  0.839,                 1.3824,             0.00080826,             0.00080826,             0.00080826
                      6,                 1.1595,                0.79331,                 1.1857,                0.74138,                0.91144,                0.85752,                 0.5801,                 1.2215,                0.81457,                 1.4153,             0.00080001,             0.00080001,             0.00080001
                      7,                 1.1566,                0.78365,                 1.1822,                0.77864,                0.94077,                0.86953,                0.60655,                 1.2094,                0.75577,                 1.3785,             0.00079177,             0.00079177,             0.00079177
                      8,                 1.1169,                0.75925,                 1.1611,                0.75975,                0.95969,                0.84969,                0.58818,                 1.2285,                0.73552,                 1.4089,             0.00078352,             0.00078352,             0.00078352
                      9,                 1.0867,                0.71962,                 1.1424,                0.77068,                0.92413,                0.83514,                0.58481,                   1.22,                0.77452,                 1.3978,             0.00077527,             0.00077527,             0.00077527
                     10,                 1.0808,                0.69779,                 1.1321,                0.79793,                0.92815,                0.85779,                0.60711,                 1.2116,                0.71183,                 1.3779,             0.00076703,             0.00076703,             0.00076703
                     11,                 1.0705,                 0.7087,                 1.1514,                0.82677,                0.92447,                0.85801,                0.61376,                 1.1912,                 0.6845,                 1.3606,             0.00075878,             0.00075878,             0.00075878
                     12,                 1.0329,                 0.6845,                 1.1113,                 0.8315,                 0.9275,                0.86763,                0.61616,                  1.179,                  0.671,                 1.3651,             0.00075053,             0.00075053,             0.00075053
                     13,                 1.0388,                0.67078,                 1.1292,                0.83577,                0.94655,                0.87315,                0.62276,                  1.177,                0.67416,                 1.3563,             0.00074229,             0.00074229,             0.00074229
                     14,                 1.0101,                0.65388,                 1.1048,                0.83379,                0.95525,                0.85949,                0.60985,                 1.1818,                0.68783,                 1.3694,             0.00073404,             0.00073404,             0.00073404
                     15,                0.99576,                0.63302,                 1.0832,                 0.7835,                0.95597,                0.86085,                0.61164,                 1.1665,                0.65683,                 1.3527,             0.00072579,             0.00072579,             0.00072579
                     16,                 1.0151,                0.65754,                 1.0997,                0.83988,                0.94858,                 0.8704,                 0.6352,                 1.1343,                0.66617,                 1.3264,             0.00071755,             0.00071755,             0.00071755
                     17,                0.98378,                0.63019,                 1.0934,                0.80667,                0.92616,                0.86584,                0.62218,                 1.1449,                0.65798,                 1.3426,              0.0007093,              0.0007093,              0.0007093
