                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5564,                 3.4919,                 1.3533,                0.51834,                 0.2698,                0.40168,                0.27645,                 1.3277,                 9.3235,                 1.3441,             0.00024157,             0.00024157,             0.00024157
                      2,                  1.293,                 1.3939,                 1.2417,                0.54347,                0.80719,                0.67299,                0.45295,                 1.3005,                 1.8222,                 1.4004,              0.0004866,              0.0004866,              0.0004866
                      3,                 1.2463,                 1.0333,                 1.2609,                0.91238,                0.45568,                0.64896,                0.42887,                 1.4066,                 1.4522,                 1.5139,             0.00072669,             0.00072669,             0.00072669
                      4,                 1.2265,                 1.0123,                 1.2462,                0.85719,                0.56873,                0.65095,                0.44345,                 1.3433,                 1.0384,                 1.5595,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.1978,                0.90655,                 1.2453,                0.75729,                0.52061,                 0.5539,                0.35719,                 1.4715,                  1.267,                 1.5975,             0.00080826,             0.00080826,             0.00080826
                      6,                 1.1944,                0.85217,                 1.2545,                0.74774,                0.64233,                0.67128,                0.45585,                 1.2764,                0.95327,                 1.4681,             0.00080001,             0.00080001,             0.00080001
                      7,                 1.1343,                0.78801,                 1.2078,                0.91742,                0.62551,                 0.6997,                0.46175,                 1.2797,                 0.8771,                 1.4649,             0.00079177,             0.00079177,             0.00079177
                      8,                 1.1316,                0.75696,                  1.198,                0.66935,                0.81696,                 0.7155,                0.49929,                 1.2447,                0.90492,                 1.4429,             0.00078352,             0.00078352,             0.00078352
                      9,                 1.1127,                0.73164,                 1.1834,                0.88869,                0.68771,                0.69472,                0.48677,                 1.2616,                0.78565,                 1.4206,             0.00077527,             0.00077527,             0.00077527
                     10,                 1.1235,                0.73421,                 1.1954,                 0.8577,                0.56743,                0.63494,                0.43279,                 1.3919,                 1.0405,                 1.5076,             0.00076703,             0.00076703,             0.00076703
                     11,                 1.0754,                0.71298,                 1.1657,                0.81561,                0.57495,                0.62863,                0.42947,                 1.3653,                 1.4758,                 1.5068,             0.00075878,             0.00075878,             0.00075878
                     12,                 1.0494,                0.67873,                 1.1391,                 0.8818,                0.66828,                 0.7178,                0.51569,                 1.2351,                0.76152,                 1.4384,             0.00075053,             0.00075053,             0.00075053
                     13,                  1.073,                0.66873,                 1.1419,                0.76454,                 0.6364,                0.66683,                 0.4421,                 1.2426,                0.83072,                  1.429,             0.00074229,             0.00074229,             0.00074229
                     14,                  1.049,                0.65141,                 1.1382,                0.92411,                0.70486,                0.75044,                0.53755,                 1.1998,                 0.7314,                  1.421,             0.00073404,             0.00073404,             0.00073404
                     15,                 1.0356,                0.62704,                 1.1281,                0.92651,                0.68738,                 0.7613,                0.56141,                 1.2174,                0.70323,                 1.4098,             0.00072579,             0.00072579,             0.00072579
                     16,                0.98686,                0.60708,                 1.1204,                0.93143,                0.64688,                0.73943,                0.53663,                 1.2073,                0.71978,                  1.402,             0.00071755,             0.00071755,             0.00071755
                     17,                0.99532,                0.61734,                 1.1178,                0.92903,                0.67686,                0.78447,                0.56902,                 1.1835,                0.69034,                 1.3956,              0.0007093,              0.0007093,              0.0007093
                     18,                0.94966,                0.58132,                 1.0777,                0.93079,                0.68683,                 0.7342,                0.53405,                 1.2196,                0.63517,                 1.4564,             0.00070105,             0.00070105,             0.00070105
                     19,                0.96463,                 0.5678,                 1.1101,                0.92513,                0.70538,                0.71715,                0.50932,                 1.2882,                0.65898,                 1.4963,             0.00069281,             0.00069281,             0.00069281
                     20,                0.94204,                0.56663,                  1.068,                0.91423,                0.72528,                0.73214,                0.52769,                 1.2077,                0.69822,                 1.4148,             0.00068456,             0.00068456,             0.00068456
                     21,                0.96128,                 0.5654,                 1.1002,                0.92137,                0.70178,                0.75308,                0.55472,                 1.2413,                0.72081,                 1.4569,             0.00067631,             0.00067631,             0.00067631
                     22,                0.95497,                0.57923,                 1.0877,                0.74543,                0.79154,                0.74864,                0.53022,                 1.2914,                0.73078,                 1.4918,             0.00066807,             0.00066807,             0.00066807
                     23,                0.93309,                0.56189,                 1.0705,                0.93584,                0.64449,                0.73314,                0.53487,                 1.1819,                0.65691,                 1.4066,             0.00065982,             0.00065982,             0.00065982
                     24,                0.88266,                0.53476,                 1.0629,                0.92592,                0.72322,                0.74719,                0.52866,                 1.2179,                0.62317,                 1.4399,             0.00065157,             0.00065157,             0.00065157
                     25,                 0.8814,                0.53267,                 1.0509,                0.92429,                0.69559,                0.72874,                0.54296,                 1.2114,                0.65123,                 1.4261,             0.00064333,             0.00064333,             0.00064333
                     26,                0.85565,                0.50057,                 1.0541,                0.92626,                0.69473,                 0.7132,                0.52142,                 1.2483,                0.67438,                 1.4572,             0.00063508,             0.00063508,             0.00063508
